|  题号  |  题解  |  标签  |  难度  | 备注 |
|  [0163](https://leetcode.com/problems/missing-ranges)  |  [Missing Ranges](leetcode/0100-0199/0163.Missing%20Ranges/README_EN.md)  |  `Array`  |  Medium  |  🔒  |
|  [0164](https://leetcode.com/problems/maximum-gap)  |  [Maximum Gap](leetcode/0100-0199/0164.Maximum%20Gap/README_EN.md)  |  `Sort`  |  Hard  |    |
|  [0165](https://leetcode.com/problems/compare-version-numbers)  |  [Compare Version Numbers](leetcode/0100-0199/0165.Compare%20Version%20Numbers/README_EN.md)  |  `String`  |  Medium  |    |
|  [0166](https://leetcode.com/problems/fraction-to-recurring-decimal)  |  [Fraction to Recurring Decimal](leetcode/0100-0199/0166.Fraction%20to%20Recurring%20Decimal/README_EN.md)  |  `Hash Table`,`Math`  |  Medium  |    |
|  [0167](https://leetcode.com/problems/two-sum-ii-input-array-is-sorted)  |  [Two Sum II - Input array is sorted](leetcode/0100-0199/0167.Two%20Sum%20II%20-%20Input%20array%20is%20sorted/README_EN.md)  |  `Array`,`Two Pointers`,`Binary Search`  |  Easy  |    |
|  [0168](https://leetcode.com/problems/excel-sheet-column-title)  |  [Excel Sheet Column Title](leetcode/0100-0199/0168.Excel%20Sheet%20Column%20Title/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0169](https://leetcode.com/problems/majority-element)  |  [Majority Element](leetcode/0100-0199/0169.Majority%20Element/README_EN.md)  |  `Bit Manipulation`,`Array`,`Divide and Conquer`  |  Easy  |    |
|  [0170](https://leetcode.com/problems/two-sum-iii-data-structure-design)  |  [Two Sum III - Data structure design](leetcode/0100-0199/0170.Two%20Sum%20III%20-%20Data%20structure%20design/README_EN.md)  |  `Design`,`Hash Table`  |  Easy  |  🔒  |
|  [0171](https://leetcode.com/problems/excel-sheet-column-number)  |  [Excel Sheet Column Number](leetcode/0100-0199/0171.Excel%20Sheet%20Column%20Number/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0172](https://leetcode.com/problems/factorial-trailing-zeroes)  |  [Factorial Trailing Zeroes](leetcode/0100-0199/0172.Factorial%20Trailing%20Zeroes/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0173](https://leetcode.com/problems/binary-search-tree-iterator)  |  [Binary Search Tree Iterator](leetcode/0100-0199/0173.Binary%20Search%20Tree%20Iterator/README_EN.md)  |  `Stack`,`Tree`,`Design`  |  Medium  |    |
|  [0174](https://leetcode.com/problems/dungeon-game)  |  [Dungeon Game](leetcode/0100-0199/0174.Dungeon%20Game/README_EN.md)  |  `Binary Search`,`Dynamic Programming`  |  Hard  |    |
|  [0175](https://leetcode.com/problems/combine-two-tables)  |  [Combine Two Tables](leetcode/0100-0199/0175.Combine%20Two%20Tables/README_EN.md)  |    |  Easy  |    |
|  [0176](https://leetcode.com/problems/second-highest-salary)  |  [Second Highest Salary](leetcode/0100-0199/0176.Second%20Highest%20Salary/README_EN.md)  |    |  Easy  |    |
|  [0177](https://leetcode.com/problems/nth-highest-salary)  |  [Nth Highest Salary](leetcode/0100-0199/0177.Nth%20Highest%20Salary/README_EN.md)  |    |  Medium  |    |
|  [0178](https://leetcode.com/problems/rank-scores)  |  [Rank Scores](leetcode/0100-0199/0178.Rank%20Scores/README_EN.md)  |    |  Medium  |    |
|  [0179](https://leetcode.com/problems/largest-number)  |  [Largest Number](leetcode/0100-0199/0179.Largest%20Number/README_EN.md)  |  `Sort`  |  Medium  |    |
|  [0180](https://leetcode.com/problems/consecutive-numbers)  |  [Consecutive Numbers](leetcode/0100-0199/0180.Consecutive%20Numbers/README_EN.md)  |    |  Medium  |    |
|  [0181](https://leetcode.com/problems/employees-earning-more-than-their-managers)  |  [Employees Earning More Than Their Managers](leetcode/0100-0199/0181.Employees%20Earning%20More%20Than%20Their%20Managers/README_EN.md)  |    |  Easy  |    |
|  [0182](https://leetcode.com/problems/duplicate-emails)  |  [Duplicate Emails](leetcode/0100-0199/0182.Duplicate%20Emails/README_EN.md)  |    |  Easy  |    |
|  [0183](https://leetcode.com/problems/customers-who-never-order)  |  [Customers Who Never Order](leetcode/0100-0199/0183.Customers%20Who%20Never%20Order/README_EN.md)  |    |  Easy  |    |
|  [0184](https://leetcode.com/problems/department-highest-salary)  |  [Department Highest Salary](leetcode/0100-0199/0184.Department%20Highest%20Salary/README_EN.md)  |    |  Medium  |    |
|  [0185](https://leetcode.com/problems/department-top-three-salaries)  |  [Department Top Three Salaries](leetcode/0100-0199/0185.Department%20Top%20Three%20Salaries/README_EN.md)  |    |  Hard  |    |
|  [0186](https://leetcode.com/problems/reverse-words-in-a-string-ii)  |  [Reverse Words in a String II](leetcode/0100-0199/0186.Reverse%20Words%20in%20a%20String%20II/README_EN.md)  |  `String`  |  Medium  |  🔒  |
|  [0187](https://leetcode.com/problems/repeated-dna-sequences)  |  [Repeated DNA Sequences](leetcode/0100-0199/0187.Repeated%20DNA%20Sequences/README_EN.md)  |  `Bit Manipulation`,`Hash Table`  |  Medium  |    |
|  [0188](https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv)  |  [Best Time to Buy and Sell Stock IV](leetcode/0100-0199/0188.Best%20Time%20to%20Buy%20and%20Sell%20Stock%20IV/README_EN.md)  |  `Dynamic Programming`  |  Hard  |    |
|  [0189](https://leetcode.com/problems/rotate-array)  |  [Rotate Array](leetcode/0100-0199/0189.Rotate%20Array/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0190](https://leetcode.com/problems/reverse-bits)  |  [Reverse Bits](leetcode/0100-0199/0190.Reverse%20Bits/README_EN.md)  |  `Bit Manipulation`  |  Easy  |    |
|  [0191](https://leetcode.com/problems/number-of-1-bits)  |  [Number of 1 Bits](leetcode/0100-0199/0191.Number%20of%201%20Bits/README_EN.md)  |  `Bit Manipulation`  |  Easy  |    |
|  [0192](https://leetcode.com/problems/word-frequency)  |  [Word Frequency](leetcode/0100-0199/0192.Word%20Frequency/README_EN.md)  |    |  Medium  |    |
|  [0193](https://leetcode.com/problems/valid-phone-numbers)  |  [Valid Phone Numbers](leetcode/0100-0199/0193.Valid%20Phone%20Numbers/README_EN.md)  |    |  Easy  |    |
|  [0194](https://leetcode.com/problems/transpose-file)  |  [Transpose File](leetcode/0100-0199/0194.Transpose%20File/README_EN.md)  |    |  Medium  |    |
|  [0195](https://leetcode.com/problems/tenth-line)  |  [Tenth Line](leetcode/0100-0199/0195.Tenth%20Line/README_EN.md)  |    |  Easy  |    |
|  [0196](https://leetcode.com/problems/delete-duplicate-emails)  |  [Delete Duplicate Emails](leetcode/0100-0199/0196.Delete%20Duplicate%20Emails/README_EN.md)  |    |  Easy  |    |
|  [0197](https://leetcode.com/problems/rising-temperature)  |  [Rising Temperature](leetcode/0100-0199/0197.Rising%20Temperature/README_EN.md)  |    |  Easy  |    |
|  [0198](https://leetcode.com/problems/house-robber)  |  [House Robber](leetcode/0100-0199/0198.House%20Robber/README_EN.md)  |  `Dynamic Programming`  |  Easy  |    |
|  [0199](https://leetcode.com/problems/binary-tree-right-side-view)  |  [Binary Tree Right Side View](leetcode/0100-0199/0199.Binary%20Tree%20Right%20Side%20View/README_EN.md)  |  `Tree`,`Depth-first Search`,`Breadth-first Search`  |  Medium  |    |
|  [0200](https://leetcode.com/problems/number-of-islands)  |  [Number of Islands](leetcode/0200-0299/0200.Number%20of%20Islands/README_EN.md)  |  `Depth-first Search`,`Breadth-first Search`,`Union Find`  |  Medium  |    |
|  [0201](https://leetcode.com/problems/bitwise-and-of-numbers-range)  |  [Bitwise AND of Numbers Range](leetcode/0200-0299/0201.Bitwise%20AND%20of%20Numbers%20Range/README_EN.md)  |  `Bit Manipulation`  |  Medium  |    |
|  [0202](https://leetcode.com/problems/happy-number)  |  [Happy Number](leetcode/0200-0299/0202.Happy%20Number/README_EN.md)  |  `Hash Table`,`Math`  |  Easy  |    |
|  [0203](https://leetcode.com/problems/remove-linked-list-elements)  |  [Remove Linked List Elements](leetcode/0200-0299/0203.Remove%20Linked%20List%20Elements/README_EN.md)  |  `Linked List`  |  Easy  |    |
|  [0204](https://leetcode.com/problems/count-primes)  |  [Count Primes](leetcode/0200-0299/0204.Count%20Primes/README_EN.md)  |  `Hash Table`,`Math`  |  Easy  |    |
|  [0205](https://leetcode.com/problems/isomorphic-strings)  |  [Isomorphic Strings](leetcode/0200-0299/0205.Isomorphic%20Strings/README_EN.md)  |  `Hash Table`  |  Easy  |    |
|  [0206](https://leetcode.com/problems/reverse-linked-list)  |  [Reverse Linked List](leetcode/0200-0299/0206.Reverse%20Linked%20List/README_EN.md)  |  `Linked List`  |  Easy  |    |
|  [0207](https://leetcode.com/problems/course-schedule)  |  [Course Schedule](leetcode/0200-0299/0207.Course%20Schedule/README_EN.md)  |  `Depth-first Search`,`Breadth-first Search`,`Graph`,`Topological Sort`  |  Medium  |    |
|  [0208](https://leetcode.com/problems/implement-trie-prefix-tree)  |  [Implement Trie (Prefix Tree)](leetcode/0200-0299/0208.Implement%20Trie%20%28Prefix%20Tree%29/README_EN.md)  |  `Design`,`Trie`  |  Medium  |    |
|  [0209](https://leetcode.com/problems/minimum-size-subarray-sum)  |  [Minimum Size Subarray Sum](leetcode/0200-0299/0209.Minimum%20Size%20Subarray%20Sum/README_EN.md)  |  `Array`,`Two Pointers`,`Binary Search`  |  Medium  |    |
|  [0210](https://leetcode.com/problems/course-schedule-ii)  |  [Course Schedule II](leetcode/0200-0299/0210.Course%20Schedule%20II/README_EN.md)  |  `Depth-first Search`,`Breadth-first Search`,`Graph`,`Topological Sort`  |  Medium  |    |
|  [0211](https://leetcode.com/problems/design-add-and-search-words-data-structure)  |  [Design Add and Search Words Data Structure](leetcode/0200-0299/0211.Design%20Add%20and%20Search%20Words%20Data%20Structure/README_EN.md)  |  `Design`,`Trie`,`Backtracking`  |  Medium  |    |
|  [0212](https://leetcode.com/problems/word-search-ii)  |  [Word Search II](leetcode/0200-0299/0212.Word%20Search%20II/README_EN.md)  |  `Trie`,`Backtracking`  |  Hard  |    |
|  [0213](https://leetcode.com/problems/house-robber-ii)  |  [House Robber II](leetcode/0200-0299/0213.House%20Robber%20II/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0214](https://leetcode.com/problems/shortest-palindrome)  |  [Shortest Palindrome](leetcode/0200-0299/0214.Shortest%20Palindrome/README_EN.md)  |  `String`  |  Hard  |    |
|  [0215](https://leetcode.com/problems/kth-largest-element-in-an-array)  |  [Kth Largest Element in an Array](leetcode/0200-0299/0215.Kth%20Largest%20Element%20in%20an%20Array/README_EN.md)  |  `Heap`,`Divide and Conquer`  |  Medium  |    |
|  [0216](https://leetcode.com/problems/combination-sum-iii)  |  [Combination Sum III](leetcode/0200-0299/0216.Combination%20Sum%20III/README_EN.md)  |  `Array`,`Backtracking`  |  Medium  |    |
|  [0217](https://leetcode.com/problems/contains-duplicate)  |  [Contains Duplicate](leetcode/0200-0299/0217.Contains%20Duplicate/README_EN.md)  |  `Array`,`Hash Table`  |  Easy  |    |
|  [0218](https://leetcode.com/problems/the-skyline-problem)  |  [The Skyline Problem](leetcode/0200-0299/0218.The%20Skyline%20Problem/README_EN.md)  |  `Heap`,`Binary Indexed Tree`,`Segment Tree`,`Divide and Conquer`,`Line Sweep`  |  Hard  |    |
|  [0219](https://leetcode.com/problems/contains-duplicate-ii)  |  [Contains Duplicate II](leetcode/0200-0299/0219.Contains%20Duplicate%20II/README_EN.md)  |  `Array`,`Hash Table`  |  Easy  |    |
|  [0220](https://leetcode.com/problems/contains-duplicate-iii)  |  [Contains Duplicate III](leetcode/0200-0299/0220.Contains%20Duplicate%20III/README_EN.md)  |  `Sort`,`Ordered Map`  |  Medium  |    |
|  [0221](https://leetcode.com/problems/maximal-square)  |  [Maximal Square](leetcode/0200-0299/0221.Maximal%20Square/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0222](https://leetcode.com/problems/count-complete-tree-nodes)  |  [Count Complete Tree Nodes](leetcode/0200-0299/0222.Count%20Complete%20Tree%20Nodes/README_EN.md)  |  `Tree`,`Binary Search`  |  Medium  |    |
|  [0223](https://leetcode.com/problems/rectangle-area)  |  [Rectangle Area](leetcode/0200-0299/0223.Rectangle%20Area/README_EN.md)  |  `Math`  |  Medium  |    |
|  [0224](https://leetcode.com/problems/basic-calculator)  |  [Basic Calculator](leetcode/0200-0299/0224.Basic%20Calculator/README_EN.md)  |  `Stack`,`Math`  |  Hard  |    |
|  [0225](https://leetcode.com/problems/implement-stack-using-queues)  |  [Implement Stack using Queues](leetcode/0200-0299/0225.Implement%20Stack%20using%20Queues/README_EN.md)  |  `Stack`,`Design`  |  Easy  |    |
|  [0226](https://leetcode.com/problems/invert-binary-tree)  |  [Invert Binary Tree](leetcode/0200-0299/0226.Invert%20Binary%20Tree/README_EN.md)  |  `Tree`  |  Easy  |    |
|  [0227](https://leetcode.com/problems/basic-calculator-ii)  |  [Basic Calculator II](leetcode/0200-0299/0227.Basic%20Calculator%20II/README_EN.md)  |  `Stack`,`String`  |  Medium  |    |
|  [0228](https://leetcode.com/problems/summary-ranges)  |  [Summary Ranges](leetcode/0200-0299/0228.Summary%20Ranges/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0229](https://leetcode.com/problems/majority-element-ii)  |  [Majority Element II](leetcode/0200-0299/0229.Majority%20Element%20II/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0230](https://leetcode.com/problems/kth-smallest-element-in-a-bst)  |  [Kth Smallest Element in a BST](leetcode/0200-0299/0230.Kth%20Smallest%20Element%20in%20a%20BST/README_EN.md)  |  `Tree`,`Binary Search`  |  Medium  |    |
|  [0231](https://leetcode.com/problems/power-of-two)  |  [Power of Two](leetcode/0200-0299/0231.Power%20of%20Two/README_EN.md)  |  `Bit Manipulation`,`Math`  |  Easy  |    |
|  [0232](https://leetcode.com/problems/implement-queue-using-stacks)  |  [Implement Queue using Stacks](leetcode/0200-0299/0232.Implement%20Queue%20using%20Stacks/README_EN.md)  |  `Stack`,`Design`  |  Easy  |    |
|  [0233](https://leetcode.com/problems/number-of-digit-one)  |  [Number of Digit One](leetcode/0200-0299/0233.Number%20of%20Digit%20One/README_EN.md)  |  `Math`  |  Hard  |    |
|  [0234](https://leetcode.com/problems/palindrome-linked-list)  |  [Palindrome Linked List](leetcode/0200-0299/0234.Palindrome%20Linked%20List/README_EN.md)  |  `Linked List`,`Two Pointers`  |  Easy  |    |
|  [0235](https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree)  |  [Lowest Common Ancestor of a Binary Search Tree](leetcode/0200-0299/0235.Lowest%20Common%20Ancestor%20of%20a%20Binary%20Search%20Tree/README_EN.md)  |  `Tree`  |  Easy  |    |
|  [0236](https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree)  |  [Lowest Common Ancestor of a Binary Tree](leetcode/0200-0299/0236.Lowest%20Common%20Ancestor%20of%20a%20Binary%20Tree/README_EN.md)  |  `Tree`  |  Medium  |    |
|  [0237](https://leetcode.com/problems/delete-node-in-a-linked-list)  |  [Delete Node in a Linked List](leetcode/0200-0299/0237.Delete%20Node%20in%20a%20Linked%20List/README_EN.md)  |  `Linked List`  |  Easy  |    |
|  [0238](https://leetcode.com/problems/product-of-array-except-self)  |  [Product of Array Except Self](leetcode/0200-0299/0238.Product%20of%20Array%20Except%20Self/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0239](https://leetcode.com/problems/sliding-window-maximum)  |  [Sliding Window Maximum](leetcode/0200-0299/0239.Sliding%20Window%20Maximum/README_EN.md)  |  `Heap`,`Sliding Window`  |  Hard  |    |
|  [0240](https://leetcode.com/problems/search-a-2d-matrix-ii)  |  [Search a 2D Matrix II](leetcode/0200-0299/0240.Search%20a%202D%20Matrix%20II/README_EN.md)  |  `Binary Search`,`Divide and Conquer`  |  Medium  |    |
|  [0241](https://leetcode.com/problems/different-ways-to-add-parentheses)  |  [Different Ways to Add Parentheses](leetcode/0200-0299/0241.Different%20Ways%20to%20Add%20Parentheses/README_EN.md)  |  `Divide and Conquer`  |  Medium  |    |
|  [0242](https://leetcode.com/problems/valid-anagram)  |  [Valid Anagram](leetcode/0200-0299/0242.Valid%20Anagram/README_EN.md)  |  `Sort`,`Hash Table`  |  Easy  |    |
|  [0243](https://leetcode.com/problems/shortest-word-distance)  |  [Shortest Word Distance](leetcode/0200-0299/0243.Shortest%20Word%20Distance/README_EN.md)  |  `Array`  |  Easy  |  🔒  |
|  [0244](https://leetcode.com/problems/shortest-word-distance-ii)  |  [Shortest Word Distance II](leetcode/0200-0299/0244.Shortest%20Word%20Distance%20II/README_EN.md)  |  `Design`,`Hash Table`  |  Medium  |  🔒  |
|  [0245](https://leetcode.com/problems/shortest-word-distance-iii)  |  [Shortest Word Distance III](leetcode/0200-0299/0245.Shortest%20Word%20Distance%20III/README_EN.md)  |  `Array`  |  Medium  |  🔒  |
|  [0246](https://leetcode.com/problems/strobogrammatic-number)  |  [Strobogrammatic Number](leetcode/0200-0299/0246.Strobogrammatic%20Number/README_EN.md)  |  `Hash Table`,`Math`  |  Easy  |  🔒  |
|  [0247](https://leetcode.com/problems/strobogrammatic-number-ii)  |  [Strobogrammatic Number II](leetcode/0200-0299/0247.Strobogrammatic%20Number%20II/README_EN.md)  |  `Recursion`,`Math`  |  Medium  |  🔒  |
|  [0248](https://leetcode.com/problems/strobogrammatic-number-iii)  |  [Strobogrammatic Number III](leetcode/0200-0299/0248.Strobogrammatic%20Number%20III/README_EN.md)  |  `Recursion`,`Math`  |  Hard  |  🔒  |
|  [0249](https://leetcode.com/problems/group-shifted-strings)  |  [Group Shifted Strings](leetcode/0200-0299/0249.Group%20Shifted%20Strings/README_EN.md)  |  `Hash Table`,`String`  |  Medium  |  🔒  |
|  [0250](https://leetcode.com/problems/count-univalue-subtrees)  |  [Count Univalue Subtrees](leetcode/0200-0299/0250.Count%20Univalue%20Subtrees/README_EN.md)  |  `Tree`  |  Medium  |  🔒  |
|  [0251](https://leetcode.com/problems/flatten-2d-vector)  |  [Flatten 2D Vector](leetcode/0200-0299/0251.Flatten%202D%20Vector/README_EN.md)  |  `Design`  |  Medium  |  🔒  |
|  [0252](https://leetcode.com/problems/meeting-rooms)  |  [Meeting Rooms](leetcode/0200-0299/0252.Meeting%20Rooms/README_EN.md)  |  `Sort`  |  Easy  |  🔒  |
|  [0253](https://leetcode.com/problems/meeting-rooms-ii)  |  [Meeting Rooms II](leetcode/0200-0299/0253.Meeting%20Rooms%20II/README_EN.md)  |  `Heap`,`Greedy`,`Sort`  |  Medium  |  🔒  |
|  [0254](https://leetcode.com/problems/factor-combinations)  |  [Factor Combinations](leetcode/0200-0299/0254.Factor%20Combinations/README_EN.md)  |  `Backtracking`  |  Medium  |  🔒  |
